,Cooperative,Non-Cooperative,Loner
0,0.402,0.288,0.31
1,0.4,0.3,0.3
2,0.392,0.276,0.332
3,0.402,0.284,0.314
4,0.368,0.304,0.328
5,0.364,0.3,0.336
6,0.348,0.312,0.34
7,0.362,0.288,0.35
8,0.356,0.324,0.32
9,0.358,0.292,0.35
10,0.366,0.306,0.328
11,0.364,0.292,0.344
12,0.392,0.268,0.34
13,0.38,0.314,0.306
14,0.37,0.292,0.338
15,0.38,0.298,0.322
16,0.354,0.294,0.352
17,0.374,0.29,0.336
18,0.442,0.284,0.274
19,0.358,0.298,0.344
20,0.368,0.292,0.34
21,0.378,0.306,0.316
22,0.362,0.298,0.34
23,0.368,0.304,0.328
24,0.336,0.314,0.35
25,0.36,0.324,0.316
26,0.354,0.292,0.354
27,0.334,0.314,0.352
28,0.354,0.296,0.35
29,0.37,0.29,0.34
30,0.344,0.304,0.352
31,0.344,0.312,0.344
32,0.364,0.314,0.322
33,0.348,0.288,0.364
34,0.376,0.3,0.324
35,0.356,0.304,0.34
36,0.35,0.31,0.34
37,0.368,0.31,0.322
38,0.36,0.324,0.316
39,0.426,0.294,0.28
40,0.424,0.294,0.282
41,0.344,0.312,0.344
42,0.332,0.322,0.346
43,0.352,0.304,0.344
44,0.332,0.354,0.314
45,0.344,0.312,0.344
46,0.36,0.306,0.334
47,0.348,0.316,0.336
48,0.33,0.33,0.34
49,0.332,0.316,0.352
50,0.342,0.296,0.362
51,0.344,0.312,0.344
52,0.326,0.316,0.358
53,0.334,0.324,0.342
54,0.346,0.326,0.328
55,0.336,0.324,0.34
56,0.332,0.318,0.35
57,0.328,0.31,0.362
58,0.328,0.334,0.338
59,0.32,0.32,0.36
60,0.336,0.33,0.334
61,0.328,0.352,0.32
62,0.336,0.322,0.342
63,0.33,0.342,0.328
64,0.428,0.308,0.264
65,0.36,0.318,0.322
66,0.354,0.308,0.338
67,0.332,0.3,0.368
68,0.378,0.296,0.326
69,0.332,0.318,0.35
70,0.366,0.318,0.316
71,0.362,0.3,0.338
72,0.36,0.328,0.312
73,0.356,0.312,0.332
74,0.356,0.31,0.334
75,0.358,0.338,0.304
76,0.356,0.342,0.302
77,0.346,0.342,0.312
78,0.362,0.338,0.3
79,0.354,0.296,0.35
80,0.352,0.318,0.33
81,0.36,0.31,0.33
82,0.436,0.306,0.258
83,0.348,0.332,0.32
84,0.344,0.318,0.338
85,0.346,0.316,0.338
86,0.354,0.31,0.336
87,0.362,0.312,0.326
88,0.364,0.314,0.322
89,0.368,0.29,0.342
90,0.374,0.298,0.328
91,0.352,0.306,0.342
92,0.37,0.306,0.324
93,0.326,0.308,0.366
94,0.348,0.31,0.342
95,0.342,0.314,0.344
96,0.436,0.306,0.258
97,0.432,0.298,0.27
98,0.344,0.344,0.312
99,0.356,0.276,0.368
100,0.43,0.3,0.27
101,0.358,0.316,0.326
