,VIII_NNN,VI_PNP,V_PNN,VIII_NNP,X_NNP,II_NPP,XI_NNP,VII_NPP,III_NPP,XII_PPN,VII_NNN,IX_NNP,IV_NPP,VII_PNN,I_PPN,XI_NNN,VII_NPN,V_NNP,IX_PPP,IV_PPP,IV_PPN,II_PNN,XI_NPN,I_PPP,XI_PPN,X_PPN,V_PPN,III_NNN,VI_NNN,XI_PPP,V_PNP,XI_NPP,II_PPN,I_NNP,X_NPN,X_NNN,IV_PNN,VIII_PNP,I_NPP,X_PNN,XI_PNP,XII_PNN,XII_NPP,VIII_PPN,XII_NNP,V_NPP,VI_NNP,VI_PNN,I_PNN,II_PPP,VIII_NPN,XII_PPP,IX_PPN,VII_NNP,XI_PNN,X_PNP,IV_PNP,II_PNP,VII_PPN,IX_PNN,III_NNP,VI_PPP,II_NPN,V_NPN,VIII_NPP,V_PPP,IX_NPP,IV_NPN,I_NNN,IV_NNN,VI_PPN,III_PPP,III_NPN,III_PNP,VI_NPN,IV_NNP,IX_NPN,X_NPP,VI_NPP,VIII_PPP,IX_NNN,II_NNN,II_NNP,I_NPN,VIII_PNN,XII_NPN,XII_NNN,III_PPN,VII_PPP,V_NNN,VII_PNP,IX_PNP,X_PPP,XII_PNP,III_PNN,I_PNP
0,0.012,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.01,0.01,0.01,0.012,0.0,0.01,0.01
1,0.012,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.01,0.01,0.01,0.012,0.0,0.01,0.01
2,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.01,0.01,0.012,0.012,0.0,0.01,0.01
3,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.01,0.01,0.012,0.012,0.0,0.01,0.01
4,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.008,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.01,0.01,0.012,0.012,0.0,0.01,0.01
5,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.008,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.01,0.01,0.012,0.012,0.0,0.008,0.01
6,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.008,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.01,0.01,0.012,0.012,0.0,0.008,0.01
7,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.01,0.01,0.01,0.01,0.014,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.008,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.008,0.01,0.012,0.012,0.0,0.008,0.01
8,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.01,0.01,0.01,0.01,0.014,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.01,0.012,0.008,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.008,0.01,0.012,0.012,0.0,0.008,0.01
9,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.01,0.01,0.01,0.01,0.014,0.012,0.01,0.01,0.012,0.012,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.012,0.008,0.012,0.008,0.01,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.0,0.086,0.012,0.01,0.008,0.01,0.012,0.012,0.0,0.008,0.01
