,VIII_NNN,VI_PNP,V_PNN,VIII_NNP,X_NNP,II_NPP,XI_NNP,VII_NPP,III_NPP,XII_PPN,VII_NNN,IX_NNP,IV_NPP,VII_PNN,I_PPN,XI_NNN,VII_NPN,V_NNP,IX_PPP,IV_PPP,IV_PPN,II_PNN,XI_NPN,I_PPP,XI_PPN,X_PPN,V_PPN,III_NNN,VI_NNN,XI_PPP,V_PNP,XI_NPP,II_PPN,I_NNP,X_NPN,X_NNN,IV_PNN,VIII_PNP,I_NPP,X_PNN,XI_PNP,XII_PNN,XII_NPP,VIII_PPN,XII_NNP,V_NPP,VI_NNP,VI_PNN,I_PNN,II_PPP,VIII_NPN,XII_PPP,IX_PPN,VII_NNP,XI_PNN,X_PNP,IV_PNP,II_PNP,VII_PPN,IX_PNN,III_NNP,VI_PPP,II_NPN,V_NPN,VIII_NPP,V_PPP,IX_NPP,IV_NPN,I_NNN,IV_NNN,VI_PPN,III_PPP,III_NPN,III_PNP,VI_NPN,IV_NNP,IX_NPN,X_NPP,VI_NPP,VIII_PPP,IX_NNN,II_NNN,II_NNP,I_NPN,VIII_PNN,XII_NPN,XII_NNN,III_PPN,VII_PPP,V_NNN,VII_PNP,IX_PNP,X_PPP,XII_PNP,III_PNN,I_PNP
0,-28.28,-57.75,-38.03,-39.12,-29.0,-60.72,-35.7,-38.6,-51.0,0.0,-20.14,-40.4,-34.2,-9.1,-59.44,-34.3,-24.55,-26.72,-48.3,-92.25,-63.75,-41.1,-32.34,-68.75,-48.34,-73.2,-65.4,-13.0,-32.2,-52.34,-60.88,-46.8,-57.56,-27.33,-38.8,-29.0,-37.44,-50.72,-31.5,-38.6,-55.5,0.0,0.0,-45.12,0.0,-46.53,-49.38,-61.1,-53.1,-61.44,-21.44,0.0,-43.84,-22.58,-45.56,-64.0,-65.0,-50.0,-54.03,-44.66,-23.4,-62.84,-31.94,-28.73,-65.44,-76.3,-51.72,-43.62,-16.64,-21.19,-55.1,-72.3,-35.2,-57.4,-25.2,-11.74,-37.06,-51.6,-31.44,-75.2,-31.08,-10.35,-37.25,-39.84,-41.78,0.0,-23.7,-49.5,-65.2,-20.58,-48.12,-48.6,-62.34,0.0,-44.2,-45.66
1,-59.28,-104.8,-69.75,-84.56,-98.8,-116.0,-85.5,-65.94,-122.8,0.0,-73.06,-52.6,-84.5,-42.84,-96.5,-43.2,-72.0,-46.47,-89.8,-118.8,-114.7,-34.9,-53.5,-113.56,-123.56,-80.0,-155.4,-63.6,-22.19,-134.6,-116.75,-139.8,-87.6,-47.6,-94.2,-48.4,-68.06,-125.9,-100.06,-97.0,-82.56,0.0,0.0,-74.94,0.0,-50.7,-106.9,-116.0,-87.0,-144.6,-73.8,0.0,-82.8,-57.34,-96.7,-96.5,-102.3,-86.0,-134.9,-69.56,-119.8,-133.6,-52.9,-62.38,-106.9,-134.9,-101.3,-38.28,-22.2,-59.0,-116.7,-119.3,-119.8,-116.8,-69.6,-127.6,-80.2,-105.4,-62.66,-129.5,-36.28,-26.81,-66.6,-56.34,-67.75,0.0,-44.22,-106.7,-106.4,-44.97,-100.8,-126.4,-132.0,0.0,-54.4,-84.75
2,-36.62,-43.2,-38.03,-35.75,-37.6,-51.22,-36.25,-38.34,-42.4,0.0,-25.73,-34.9,-48.3,-31.5,-32.3,-27.6,-11.38,-32.6,-49.84,-58.97,-33.47,-32.75,-26.7,-45.78,-39.9,-57.2,-46.2,-11.6,-22.27,-65.1,-48.1,-50.34,-49.8,-27.58,-38.4,-33.2,-35.53,-35.94,-31.9,-25.2,-60.9,0.0,0.0,-40.25,0.0,-35.03,-24.78,-57.66,-35.78,-61.62,-38.88,0.0,-56.12,-37.34,-56.4,-55.34,-63.1,-49.8,-50.47,-40.97,-26.0,-52.9,-46.88,-42.44,-54.97,-60.84,-31.3,-39.44,-35.84,-17.23,-36.94,-53.0,-20.6,-60.8,-36.03,-34.28,-32.75,-57.6,-46.53,-46.7,-25.55,-17.61,-15.15,-19.86,-37.94,0.0,-17.61,-41.16,-58.75,-10.79,-37.62,-47.0,-53.0,0.0,-30.0,-39.47
3,-55.72,-66.9,-66.5,-37.9,-28.2,-76.75,-45.3,-45.62,-53.6,0.0,-46.1,-39.56,-58.75,-64.94,-67.8,-20.5,-37.12,-37.4,-67.25,-98.94,-71.44,-49.28,-61.16,-77.94,-73.5,-60.6,-55.06,-44.6,-36.9,-80.7,-44.0,-59.0,-58.22,-49.0,-49.4,-25.4,-39.88,-52.84,-78.56,-52.2,-57.4,0.0,0.0,-70.44,0.0,-58.22,-37.9,-44.38,-52.3,-63.12,-48.8,0.0,-65.9,-28.9,-66.0,-66.7,-53.44,-48.16,-77.75,-42.5,-43.8,-74.2,-70.44,-50.88,-46.72,-74.5,-42.53,-55.1,-28.64,-11.55,-47.53,-95.0,-35.8,-68.0,-30.45,-46.2,-53.72,-41.2,-49.38,-80.7,-22.73,-19.33,-47.88,-30.6,-23.56,0.0,-25.8,-72.7,-92.25,-5.66,-58.94,-61.25,-91.0,0.0,-52.0,-79.6
4,-23.23,-52.7,-51.22,-39.2,-54.4,-58.7,-40.5,-48.8,-47.4,0.0,-11.44,-19.75,-47.2,-34.1,-87.06,-30.0,-40.84,-52.1,-59.28,-76.7,-58.28,-38.28,-34.75,-82.5,-67.8,-48.0,-55.8,-18.8,-17.34,-75.2,-54.78,-62.56,-68.44,-24.58,-30.0,-18.8,-37.94,-55.94,-78.44,-54.8,-46.56,0.0,0.0,-59.97,0.0,-28.64,-19.1,-45.12,-39.8,-76.4,-50.56,0.0,-65.94,-36.88,-58.7,-63.34,-56.34,-73.75,-46.06,-30.1,-67.2,-70.9,-37.88,-36.16,-60.1,-76.4,-76.6,-68.56,-25.27,-18.02,-65.5,-76.0,-35.2,-80.4,-22.72,-28.16,-35.16,-47.2,-66.7,-59.28,-16.31,-46.28,-28.33,-50.22,-30.81,0.0,-31.84,-68.7,-78.94,-29.42,-48.22,-74.0,-82.8,0.0,-39.6,-52.97
5,-89.7,-193.6,-150.2,-93.7,-146.2,-184.1,-196.2,-213.2,-138.6,0.0,-54.88,-124.0,-212.5,-116.56,-277.2,-81.1,-72.6,-211.0,-270.8,-246.4,-287.8,-182.1,-230.8,-232.2,-155.8,-287.0,-138.1,-110.0,-67.6,-332.5,-200.2,-176.2,-155.5,-158.1,-142.2,-154.4,-148.4,-221.1,-156.5,-136.8,-265.0,0.0,0.0,-166.2,0.0,-185.5,-216.1,-97.25,-232.8,-200.8,-131.6,0.0,-129.9,-116.44,-184.8,-153.6,-243.9,-225.5,-213.1,-140.0,-176.4,-233.6,-185.5,-193.6,-209.0,-170.5,-254.9,-108.7,-84.9,-91.1,-162.4,-233.4,-191.0,-224.6,-79.3,-154.6,-133.8,-239.2,-244.1,-210.2,-144.4,-109.94,-106.75,-111.8,-135.1,0.0,-81.1,-156.6,-298.5,-137.0,-219.5,-239.1,-258.0,0.0,-156.5,-226.4
6,-24.67,-111.3,-75.8,-91.6,-62.8,-106.6,-87.94,-50.84,-117.4,0.0,-28.1,-91.7,-111.9,-47.94,-182.4,-62.97,-37.1,-109.9,-191.0,-167.5,-107.4,-51.7,-98.7,-136.8,-117.75,-135.4,-115.6,-47.4,-49.2,-146.1,-146.2,-116.6,-116.9,-80.1,-73.8,-65.0,-93.56,-136.9,-93.2,-61.2,-122.7,0.0,0.0,-112.94,0.0,-71.25,-15.35,-82.8,-101.6,-166.5,-44.0,0.0,-113.7,-120.2,-98.9,-120.5,-104.4,-127.56,-136.6,-112.8,-78.2,-159.2,-75.7,-61.3,-85.8,-132.1,-117.0,-85.44,-74.8,-15.41,-117.56,-189.6,-90.8,-130.6,-79.6,-91.4,-75.4,-159.4,-109.44,-129.5,-45.0,-34.8,-60.6,-74.8,-93.44,0.0,-48.03,-70.7,-144.5,-26.81,-131.8,-128.9,-145.6,0.0,-29.25,-114.6
7,-8.625,-44.6,-39.44,-42.34,-31.2,-61.3,-37.2,-56.2,-53.8,0.0,-25.4,-27.06,-36.44,-41.12,-51.88,-19.16,-46.72,-23.27,-47.5,-61.6,-40.72,-25.75,-23.05,-49.5,-56.6,-52.2,-30.5,-22.4,-36.06,-65.94,-44.53,-40.1,-47.1,-31.25,-18.6,-8.0,-33.97,-55.72,-50.34,-25.4,-34.12,0.0,0.0,-46.28,0.0,-43.1,-27.66,-28.08,-44.75,-52.94,-34.97,0.0,-43.8,-43.84,-40.12,-42.66,-38.7,-44.84,-46.2,-28.9,-20.6,-47.12,-33.25,-31.78,-47.75,-60.6,-44.1,-43.47,-28.06,-38.22,-42.1,-53.0,-46.0,-52.2,-11.5,-38.4,-27.7,-37.4,-60.62,-69.5,-31.3,-16.52,-38.22,-29.25,-52.4,0.0,-24.23,-60.5,-65.06,-20.0,-45.28,-52.47,-70.3,0.0,-42.25,-54.62
8,-33.22,-72.5,-71.5,-85.4,-69.2,-96.4,-41.03,-19.9,-78.8,0.0,-31.64,-59.75,-95.2,-38.38,-95.06,-42.06,-74.94,-74.25,-89.8,-135.6,-97.56,-67.7,-88.2,-116.4,-97.44,-92.8,-76.6,-56.8,-41.5,-97.0,-109.94,-73.2,-86.25,-71.3,-68.4,-50.0,-71.5,-90.2,-76.1,-76.2,-107.5,0.0,0.0,-74.0,0.0,-80.06,-53.28,-42.06,-92.0,-87.7,-91.56,0.0,-97.5,-66.94,-74.4,-85.7,-50.72,-92.2,-110.9,-79.8,-63.4,-86.8,-54.34,-67.2,-109.5,-126.7,-82.5,-77.56,-73.1,-62.53,-93.3,-95.3,-76.6,-88.6,-55.7,-55.6,-75.4,-77.0,-91.3,-124.1,-27.39,-52.44,-77.3,-76.1,-69.5,0.0,-44.6,-98.7,-94.2,-41.38,-80.06,-68.56,-89.7,0.0,-55.0,-97.44
9,-14.484,-37.62,-23.25,-23.02,-20.4,-40.38,-34.06,-34.16,-32.6,0.0,-6.8,-28.6,-16.88,-39.66,-41.66,-14.17,-16.9,-23.56,-44.25,-45.94,-58.84,-31.12,-19.75,-62.94,-42.03,-32.6,-34.97,-22.8,-14.586,-47.2,-35.94,-46.2,-27.23,-32.9,-23.8,-22.8,-38.16,-42.78,-27.45,-22.0,-46.0,0.0,0.0,-43.03,0.0,-24.9,-23.98,-33.28,-24.69,-51.38,-19.19,0.0,-25.62,-11.94,-13.05,-37.34,-42.44,-35.06,-49.78,-23.44,-9.4,-46.25,-34.6,-12.85,-39.7,-33.0,-35.47,-29.33,-8.53,-24.69,-35.53,-48.0,-32.2,-27.6,-33.12,-26.34,-15.9,-36.6,-30.56,-49.84,-14.914,-22.0,-21.55,-12.3,-16.95,0.0,-15.62,-21.0,-41.2,-19.12,-41.06,-33.94,-52.5,0.0,-36.25,-43.7
