,Good,Medium,Bad
0,0.402,0.31,0.288
1,0.4,0.3,0.3
2,0.392,0.332,0.276
3,0.402,0.314,0.284
4,0.368,0.328,0.304
5,0.364,0.336,0.3
6,0.348,0.34,0.312
7,0.362,0.35,0.288
8,0.356,0.32,0.324
9,0.358,0.35,0.292
10,0.366,0.328,0.306
11,0.364,0.344,0.292
12,0.392,0.34,0.268
13,0.38,0.306,0.314
14,0.37,0.338,0.292
15,0.38,0.322,0.298
16,0.354,0.352,0.294
17,0.374,0.336,0.29
18,0.442,0.274,0.284
19,0.358,0.344,0.298
20,0.368,0.34,0.292
21,0.378,0.316,0.306
22,0.362,0.34,0.298
23,0.368,0.328,0.304
24,0.336,0.35,0.314
25,0.36,0.316,0.324
26,0.354,0.354,0.292
27,0.334,0.352,0.314
28,0.354,0.35,0.296
29,0.37,0.34,0.29
30,0.344,0.352,0.304
31,0.344,0.344,0.312
32,0.364,0.322,0.314
33,0.348,0.364,0.288
34,0.376,0.324,0.3
35,0.356,0.34,0.304
36,0.35,0.34,0.31
37,0.368,0.322,0.31
38,0.36,0.316,0.324
39,0.426,0.28,0.294
40,0.424,0.282,0.294
41,0.344,0.344,0.312
42,0.332,0.346,0.322
43,0.352,0.344,0.304
44,0.332,0.314,0.354
45,0.344,0.344,0.312
46,0.36,0.334,0.306
47,0.348,0.336,0.316
48,0.33,0.34,0.33
49,0.332,0.352,0.316
50,0.342,0.362,0.296
51,0.344,0.344,0.312
52,0.326,0.358,0.316
53,0.334,0.342,0.324
54,0.346,0.328,0.326
55,0.336,0.34,0.324
56,0.332,0.35,0.318
57,0.328,0.362,0.31
58,0.328,0.338,0.334
59,0.32,0.36,0.32
60,0.336,0.334,0.33
61,0.328,0.32,0.352
62,0.336,0.342,0.322
63,0.33,0.328,0.342
64,0.428,0.264,0.308
65,0.36,0.322,0.318
66,0.354,0.338,0.308
67,0.332,0.368,0.3
68,0.378,0.326,0.296
69,0.332,0.35,0.318
70,0.366,0.316,0.318
71,0.362,0.338,0.3
72,0.36,0.312,0.328
73,0.356,0.332,0.312
74,0.356,0.334,0.31
75,0.358,0.304,0.338
76,0.356,0.302,0.342
77,0.346,0.312,0.342
78,0.362,0.3,0.338
79,0.354,0.35,0.296
80,0.352,0.33,0.318
81,0.36,0.33,0.31
82,0.436,0.258,0.306
83,0.348,0.32,0.332
84,0.344,0.338,0.318
85,0.346,0.338,0.316
86,0.354,0.336,0.31
87,0.362,0.326,0.312
88,0.364,0.322,0.314
89,0.368,0.342,0.29
90,0.374,0.328,0.298
91,0.352,0.342,0.306
92,0.37,0.324,0.306
93,0.326,0.366,0.308
94,0.348,0.342,0.31
95,0.342,0.344,0.314
96,0.436,0.258,0.306
97,0.432,0.27,0.298
98,0.344,0.312,0.344
99,0.356,0.368,0.276
100,0.43,0.27,0.3
101,0.358,0.326,0.316
102,0.354,0.346,0.3
103,0.348,0.352,0.3
104,0.366,0.354,0.28
105,0.436,0.266,0.298
106,0.382,0.306,0.312
107,0.356,0.342,0.302
108,0.354,0.328,0.318
109,0.338,0.34,0.322
110,0.342,0.34,0.318
111,0.36,0.316,0.324
112,0.352,0.318,0.33
113,0.352,0.334,0.314
114,0.348,0.316,0.336
115,0.35,0.35,0.3
116,0.43,0.256,0.314
117,0.338,0.346,0.316
118,0.358,0.338,0.304
119,0.366,0.324,0.31
120,0.36,0.332,0.308
121,0.424,0.264,0.312
122,0.324,0.314,0.362
123,0.334,0.33,0.336
124,0.328,0.34,0.332
125,0.318,0.336,0.346
126,0.42,0.26,0.32
127,0.348,0.32,0.332
128,0.324,0.38,0.296
129,0.426,0.256,0.318
130,0.328,0.344,0.328
131,0.33,0.318,0.352
132,0.422,0.254,0.324
133,0.332,0.358,0.31
134,0.348,0.3,0.352
135,0.326,0.342,0.332
136,0.342,0.338,0.32
137,0.326,0.322,0.352
138,0.354,0.308,0.338
139,0.348,0.348,0.304
140,0.35,0.312,0.338
141,0.334,0.34,0.326
142,0.356,0.336,0.308
143,0.36,0.3,0.34
144,0.338,0.33,0.332
145,0.328,0.328,0.344
146,0.32,0.328,0.352
147,0.326,0.344,0.33
148,0.356,0.34,0.304
149,0.418,0.266,0.316
150,0.418,0.262,0.32
151,0.344,0.334,0.322
152,0.366,0.306,0.328
153,0.312,0.336,0.352
154,0.328,0.336,0.336
155,0.34,0.35,0.31
156,0.314,0.362,0.324
157,0.338,0.34,0.322
158,0.314,0.366,0.32
159,0.35,0.31,0.34
160,0.32,0.332,0.348
161,0.328,0.328,0.344
162,0.32,0.346,0.334
163,0.336,0.358,0.306
164,0.358,0.332,0.31
165,0.356,0.334,0.31
166,0.338,0.374,0.288
167,0.342,0.348,0.31
168,0.328,0.342,0.33
169,0.358,0.338,0.304
170,0.43,0.254,0.316
171,0.348,0.334,0.318
172,0.358,0.332,0.31
173,0.344,0.352,0.304
174,0.34,0.358,0.302
