,Source,Destination,#
0,VIII_NNN,VI_NNN,1
1,VIII_NNN,III_NPN,1
2,VIII_NNN,IV_NNP,1
3,VIII_NNN,VIII_PNN,1
4,VI_PNP,II_PNP,1
5,VI_PNP,II_NNN,1
6,V_PNN,III_NNN,1
7,VIII_NNP,IV_PNN,1
8,VIII_NNP,II_NPN,1
9,VIII_NNP,IX_PNP,1
10,X_NNP,IV_PPN,1
11,X_NNP,IX_NNN,2
12,II_NPP,VII_NNN,1
13,II_NPP,X_PNN,1
14,XI_NNP,IV_PNP,1
15,VII_NPP,VIII_NNN,1
16,VII_NPP,IV_NPP,1
17,VII_NPP,VIII_NPN,1
18,VII_NPP,X_PNP,1
19,VII_NPP,IX_NPP,1
20,VII_NPP,III_PPN,1
21,III_NPP,VIII_NNP,1
22,III_NPP,X_NNP,1
23,III_NPP,X_NPP,1
24,VII_NNN,X_NPN,1
25,VII_NNN,IX_PNN,1
26,IX_NNP,VIII_NNN,1
27,IX_NNP,VIII_PNP,1
28,IV_NPP,IV_PPN,1
29,IV_NPP,X_NNN,1
30,IV_NPP,IX_NPN,3
31,IV_NPP,III_PNN,1
32,VII_PNN,I_NNP,1
33,VII_PNN,II_NPN,1
34,I_PPN,VII_NNN,1
35,I_PPN,III_NNN,1
36,I_PPN,IV_NPN,1
37,XI_NNN,VIII_NNN,1
38,VII_NPN,VIII_NNP,1
39,V_NNP,III_NNN,1
40,V_NNP,I_PNN,1
41,V_NNP,VII_NNP,1
42,V_NNP,II_NNN,1
43,IX_PPP,VIII_PNP,1
44,IX_PPP,IX_PNN,1
45,IX_PPP,V_NPN,1
46,IX_PPP,III_PPP,1
47,IV_PPP,VIII_NNN,1
48,IV_PPN,VII_NNN,1
49,IV_PPN,III_NNN,1
50,II_PNN,IX_NNP,1
51,XI_NPN,VII_NNN,1
52,XI_NPN,I_PPN,1
53,XI_NPN,IV_PNP,1
54,XI_NPN,IV_NNP,1
55,XI_NPN,IX_NNN,1
56,XI_NPN,IX_PNP,1
57,I_PPP,IX_NNP,1
58,I_PPP,III_NNN,1
59,I_PPP,IV_PNN,1
60,I_PPP,II_NPN,1
61,XI_PPN,V_PNN,1
62,XI_PPN,III_NNN,1
63,XI_PPN,VI_NNN,1
64,XI_PPN,X_NNN,1
65,XI_PPN,VIII_NPN,1
66,XI_PPN,IV_NNN,1
67,X_PPN,VIII_NNN,1
68,X_PPN,I_NPP,1
69,X_PPN,III_PNP,1
70,V_PPN,VII_PNN,1
71,V_PPN,VIII_PNP,1
72,VI_NNN,X_NNP,1
73,VI_NNN,III_NNN,1
74,VI_NNN,III_PPP,1
75,XI_PPP,XI_NPN,1
76,XI_PPP,XI_PPN,1
77,XI_PPP,V_PNP,1
78,XI_PPP,II_NNN,1
79,XI_PPP,III_PNN,1
80,V_PNP,IX_NPN,1
81,V_PNP,IX_NNN,1
82,XI_NPP,II_PPP,1
83,XI_NPP,VII_PNP,1
84,II_PPN,V_PNN,1
85,II_PPN,VI_NNP,1
86,I_NNP,V_PNN,1
87,I_NNP,X_PNN,1
88,I_NNP,VI_NPN,1
89,I_NNP,VIII_PPP,1
90,X_NPN,IX_NPP,1
91,X_NPN,III_PPN,1
92,X_NNN,V_PNN,2
93,IV_PNN,X_PNP,1
94,IV_PNN,IX_PNN,1
95,VIII_PNP,VI_NNP,1
96,VIII_PNP,IX_NPP,1
97,VIII_PNP,IV_NNN,1
98,VIII_PNP,VII_PPP,1
99,I_NPP,VI_PNP,1
100,I_NPP,VI_NNN,1
101,I_NPP,X_NNN,1
102,I_NPP,IV_NNP,1
103,X_PNN,X_NNN,1
104,XI_PNP,XI_NNN,1
105,XI_PNP,VII_NNP,1
106,XI_PNP,II_NNN,1
107,VIII_PPN,I_PNP,1
108,V_NPP,I_NNP,1
109,VI_NNP,IX_PPN,1
110,VI_NNP,IX_NNN,1
111,VI_NNP,III_PPN,1
112,VI_PNN,XI_NPN,1
113,VI_PNN,VII_NNP,1
114,VI_PNN,IV_NPN,1
115,VI_PNN,IX_NNN,1
116,I_PNN,VII_NNP,1
117,I_PNN,IX_NNN,1
118,II_PPP,VII_PNN,1
119,II_PPP,II_PPN,1
120,II_PPP,IX_PNN,1
121,II_PPP,IV_NNN,1
122,II_PPP,III_PNP,1
123,VIII_NPN,VIII_NNN,1
124,VIII_NPN,VIII_PNP,1
125,VIII_NPN,V_NNN,1
126,IX_PPN,I_NPN,1
127,XI_PNN,XI_NPN,1
128,XI_PNN,VI_NNP,1
129,XI_PNN,VIII_NPN,1
130,XI_PNN,IX_NPP,1
131,XI_PNN,IX_NPN,1
132,X_PNP,XI_NPP,1
133,X_PNP,VI_NPP,1
134,X_PNP,VIII_PNN,1
135,IV_PNP,IX_NNN,1
136,II_PNP,IV_NNP,1
137,VII_PPN,I_PPP,1
138,VII_PPN,VIII_PNP,1
139,VII_PPN,II_NNN,1
140,III_NNP,XI_NNN,1
141,III_NNP,X_NNN,1
142,III_NNP,IX_NPP,1
143,VI_PPP,X_NNP,1
144,VI_PPP,IV_NPN,1
145,II_NPN,VI_PNP,1
146,II_NPN,VIII_NNP,1
147,II_NPN,IV_NNP,1
148,V_NPN,IV_NNN,1
149,V_NPN,IX_NNN,1
150,V_NPN,V_NNN,1
151,VIII_NPP,IV_PPN,1
152,VIII_NPP,IX_PNP,1
153,V_PPP,II_NPP,1
154,V_PPP,IX_NNP,1
155,V_PPP,VIII_PNP,1
156,IX_NPP,VIII_NNN,1
157,IX_NPP,X_NNP,1
158,IX_NPP,II_NPP,1
159,IV_NPN,X_NNP,1
160,IV_NPN,XI_NPN,1
161,I_NNN,XI_NNN,1
162,I_NNN,III_NNN,1
163,IV_NNN,III_NNP,1
164,VI_PPN,IV_NPN,1
165,VI_PPN,III_PNP,1
166,III_PPP,VI_PNP,1
167,III_PPP,VII_PNN,1
168,III_PPP,XI_NNN,1
169,III_NPN,VIII_NNN,1
170,III_PNP,VI_PNP,1
171,III_PNP,I_PPP,1
172,VI_NPN,VIII_NNN,1
173,VI_NPN,XI_NNN,1
174,IV_NNP,IV_NPN,1
175,IV_NNP,IX_NNN,1
176,IV_NNP,II_NNN,1
177,IX_NPN,VIII_NNP,1
178,IX_NPN,IV_NNN,1
179,X_NPP,I_NNP,1
180,X_NPP,II_PNP,1
181,X_NPP,IX_NPP,1
182,VI_NPP,VIII_NNN,1
183,VI_NPP,I_PPP,1
184,VI_NPP,VI_NNP,1
185,VIII_PPP,XI_NNP,1
186,VIII_PPP,I_PNN,1
187,VIII_PPP,I_NNN,1
188,VIII_PPP,VI_NPN,1
189,IX_NNN,I_NNP,1
190,IX_NNN,X_NNN,1
191,IX_NNN,V_NPP,1
192,II_NNN,IX_NNN,1
193,II_NNN,VIII_PNN,1
194,II_NNN,III_PNN,1
195,I_NPN,IV_NPP,1
196,I_NPN,III_NPN,1
197,VIII_PNN,II_NNN,1
198,III_PPN,IV_NNP,1
199,III_PPN,IX_NNN,1
200,III_PPN,II_NNN,1
201,VII_PPP,VI_PNP,1
202,VII_PPP,III_PNP,1
203,VII_PPP,II_NNN,1
204,V_NNN,VII_NNN,1
205,V_NNN,VI_NNN,1
206,V_NNN,X_PNN,1
207,IX_PNP,III_NNN,1
208,IX_PNP,II_PPP,1
209,X_PPP,XI_NNN,1
210,X_PPP,V_NPP,1
211,X_PPP,II_PPP,1
212,X_PPP,III_PNP,1
213,X_PPP,IX_NPN,1
214,X_PPP,II_NNN,1
215,III_PNN,I_PPN,1
216,III_PNN,VI_NNN,1
217,III_PNN,II_NNP,1
218,I_PNP,II_NNN,1
219,I_PNP,III_PPN,1
